Baby Dool Kell,-----,11.50,
Biquini 10655,-----,"23,70",
Biquini 70238,-----,"29,40",
Biquini 70240,-----,"24,50",
Biquini 70242,-----,"13,50",
Biquini 70272,-----,"31,85",
Biquini 70284,-----,"31,25",
Biquini 70287,-----,"37,10",
Biquini 70288,-----,"31,25",
Biquini 70289,-----,"31,25",
Biquini 70290,-----,"37,10",
Biquini 802,-----,"23,70",
Biquini 807,-----,"23,70",
Biquini 809,-----,"22,50",
Biquini 811,-----,"25,80",
Biquini 812,-----,"23,70",
Biquini 830,-----,"29,30",
Biquini 841,-----,"27,20",
Body Adara,-----,"13,10",
Body Anitta,-----,"12,30",
Body Tasha,-----,"12,30",
Body Vitória,-----,"12,30",
Body Érika,-----,"12,30",
Calca Cinta Renda,-----,"7,50",
Calca Martha,-----,"5,10",
Calca Paquita,-----,"4,95",
Calcola Monara,Cueca Monara,4.00,
Calcola Sedir,Cueca Sedir,"4,65",
Calcolinha Inf. Livia,-----,"2,15",
Calcolinha Inf. Luna,-----,2.00,
Calcolinha Inf. Sarah,-----,"2,15",
Calesson Débora,-----,"4,20",
Calesson Flora,-----,"4,40",
Calesson Malu,-----,"4,80",
Calessson Lamalu,-----,"3,85",
Callesson Julia,-----,"4,80",
Callesson Noemi,-----,"5,70",
Callesson Sofia,-----,4.20,
Callesson Vilary,-----,4.80,
Calça Adrineia,-----,5.20,
Calça Analice,-----,"4,40",
Calça Cema,-----,5.70,
Calça Henriqueta,-----,5.40,
Calça Jucinha,-----,"4,80",
Calça Laís,-----,"4,80",
Calça Macarena,-----,"4,95",
Calça Maressa,-----,"4,10",
Calça Megane,-----,"5,30",
Calça Veronica,-----,4.75,
Calçola Camila,-----,"4,60",
Calçola Carol,-----,"6,20",
Calçola Daivane,-----,5.20,
Calçola Edineia,-----,5.20,
Calçola Irene,-----,"4,55",
Calçola Joelma,-----,"5,20",
Calçola Justine,-----,2.90,
Calçola Marcia,-----,"4,65",
Calçola Su,-----,"4,70",
Calçola Vilma,-----,4.65,
Calçolinha Inf. Agnes,-----,"2,30",
Calçolinha Inf. Grazi,-----,"2,60",
Calçolinha Inf. Lavinia,-----,"3,10",
Calçolinha Inf. Leticia,-----,2.60,
Calçolinha Inf. Magali,-----,"2,20",
Calçolinha Inf. Suede,-----,"2,00",
Calçolinha M. Moça Gloria,-----,2.35,
Calçolinha. Inf Ana Clara,-----,"2,95",
Camisete Calleson Hanna,-----,"11,70",
Camisola Alice,-----,"14,90",
Camisola Leia,-----,15.20,
Camisola Leila,-----,"15,20",
Camisola Lotus,-----,"13,50",
Camisola Martina,-----,13.25,
Camisola Yula,-----,"16,95",
Conj. M. Moça Ciganinha,-----,3.40,
Conj. M. Moça Liz,-----,"4,20",
Conj. M. Moça Luna,-----,"4,30",
Conjunto Calesson Rachel,-----,"15,20",
Conjunto Callesson Thalia,-----,17.95,
Conjunto Chick,-----,13.80,
Conjunto Cropped Renda,-----,"12,10",
Conjunto Dávila,-----,"12,70",
Conjunto Fio Atrative,-----,15.90,
Conjunto Fio Bia,-----,"10,80",
Conjunto Fio Duplo Nanda,-----,"17,20",
Conjunto Fio Serena,-----,"14,20",
Conjunto Juciara,-----,"15,70",
Conjunto Laiza,-----,"18,95",
Conjunto Luara,-----,"14,20",
Conjunto M Moça Tata,-----,3.55,
Conjunto M. Moca Stefanie,-----,5.25,
Conjunto M. Moça Helena,-----,5.20,
Conjunto M. Moça Stefanie,-----,5.25,
Conjunto M. Moça Tata,-----,3.55,
Conjunto Meia Taca Samira,-----,"15,95",
Conjunto Nadia,-----,15.40,
Conjunto Ousadia,-----,"13,95",
Conjunto Paulina,-----,"16,30",
Conjunto Renda Ana,-----,15.40,
Conjunto Renda Francesa,-----,8.80,
Conjunto Renda Josiane,-----,"13,75",
Conjunto Renda Luiza,-----,"13,70",
Conjunto Renda Mi,-----,"16,95",
Conjunto Renda Natali,-----,15.70,
Conjunto Renda Yasmim,-----,16.75,
Conjunto Romance,-----,"11,10",
Cueca Box Alfredo,Boxer Box Alfredo,6.35,
Cueca Box Antonio,Boxer Box Antonio,5.10,
Cueca Box Celso,Boxer Box Celso,4.70,
Cueca Box Danton,Boxer Box Danton,"5,50",
Cueca Box Francisco,Boxer Box Francisco,"4,95",
Cueca Box Gael,Boxer Box Gael,5.30,
Cueca Box Inf. Matheus,Boxer Box Inf. Matheus,"3,25",
Cueca Box Inf. Micael,Boxer Box Inf. Micael,3.20,
Cueca Box Inf. Nathan,Boxer Box Inf. Nathan,2.60,
Cueca Box Inf. Rafael,Boxer Box Inf. Rafael,2.95,
Cueca Box Inf. Ravi,Boxer Box Inf. Ravi,"3,15",
Cueca Box Inf. Ulisses,Boxer Box Inf. Ulisses,"2,90",
Cueca Box Martim,Boxer Box Martim,"6,85",
Cueca Box Ulisses,Boxer Box Ulisses,3.30,
Cueca Box Yago,Boxer Box Yago,5.35,
Cueca Box Yuri,Boxer Box Yuri,4.70,
Fato de Banho 70285,-----,"41,30",
Fato de Banho 854,-----,"30,70",
Kit Tanga c/3,-----,"4,95",
Pijama Longo Joana,-----,"20,10",
Pijama Longo Vitória,-----,"20,10",
Samba Cancao Andre,Boxers Largos Andre,7.50,
Samba Cançao Toni,-----,"8,45",
Samba Canção Augusto,-----,"7,20",
Sexy Ball 3 UN,-----,"2,45",
Short Box Bella,-----,"5,25",
Short Dool Cecilia Pluss,-----,"15,95",
Short Dool Flora,-----,10.90,
Short Dool Heloisa Plus,-----,14.65,
Short Dool Kakau,-----,12.20,
Short Dool Layra Pluss,-----,12.60,
Short Dool Liga Liso,-----,13.90,
Short Dool Maria Rosa,-----,14.20,
Short Dool Melina,-----,"13,40",
Soutien Bojo Aressa,Soutien Almofadado Aressa,12.10,
Soutien Bojo Audrey,Soutien Almofadado Audrey,12.30,
Soutien Bojo Marcele,Soutien Almofadado Marcele,"11,80",
Soutien Bojo Sandy,Soutien Almofadado Sandy,10.50,
Soutien Bojo Yara,Soutien Almofadado Yara,9.30,
Soutien Ref Cida,-----,8.85,
Soutien Ref Cida,-----,8.85,
Soutien Ref Maravilha,-----,8.35,
Soutien Ref Maravilha,-----,8.35,
Soutien Ref. Criz,-----,"7,20",
Soutien Ref. Isis,-----,7.60,
Soutien Ref. Lisse,-----,7.65,
Soutien Ref. Macarena,-----,10.15,
Soutien Ref. Rose,-----,8.10,
Soutien Ref. Sheila,-----,"7,90",
Soutien Soft Cris,-----,12.95,
Soutien Soft Julia,-----,10.70,
Soutien Top Renda,-----,7.85,
Tanga Barbara,-----,3.90,
Tanga Benary,-----,4.10,
Tanga Cloe,-----,3.20,
Tanga Cora,-----,"4,35",
Tanga Cos Bia,-----,4.70,
Tanga Cos Duplo,-----,"6,30",
Tanga Cos Kira,-----,"3,95",
Tanga Cos Mariah,-----,5.50,
Tanga Cos Neria,-----,"5,45",
Tanga Eugenia,-----,"3,70",
Tanga Fio Agatha,Cueca Brasileira Agatha,"4,90",
Tanga Fio Cinthia,Cueca Brasileira Cinthia,"4,65",
Tanga Fio Duplo Aurea,Cueca Brasileira Duplo Aurea,"4,20",
Tanga Fio Duplo Day,Cueca Brasileira Duplo Day,4.50,
Tanga Fio Duplo Lua,Cueca Brasileira Duplo Lua,4.80,
Tanga Fio Duplo Luz,Cueca Brasileira Duplo Luz,"5,10",
Tanga Fio Duplo Tika,Cueca Brasileira Duplo Tika,"4,40",
Tanga Fio Duplo Valentina,Cueca Brasileira Duplo Valentina,3.50,
Tanga Fio Gaby,Cueca Brasileira Gaby,"3,30",
Tanga Fio Jennifer,Cueca Brasileira Jennifer,"3,70",
Tanga Fio Judy,Cueca Brasileira Judy,"4,30",
Tanga Fio Kessila,Cueca Brasileira Kessila,"3,70",
Tanga Fio Pitty,Cueca Brasileira Pitty,"3,95",
Tanga Fio Soraia,Cueca Brasileira Soraia,"3,20",
Tanga Fio Ticia,Cueca Brasileira Ticia,"2,90",
Tanga Fio Wendy,Cueca Brasileira Wendy,3.70,
Tanga Gabi,-----,"4,40",
Tanga Jade,-----,3.20,
Tanga Jamila,-----,"4,40",
Tanga Lotus,-----,3.55,
Tanga Moliny,-----,"4,60",
Tanga Monica,-----,3.90,
Tanga Nanda,-----,"3,95",
Tanga Natasha,-----,"3,70",
Tanga Renda Hilary,-----,4.60,
Tanga Renda Liz,-----,3.70,
Tanga Rita,-----,"4,95",
Tanga Saionara,-----,4.00,
Tanga Soninha Cotton,-----,5.20,
Tanga Taieny,-----,"5,00",
Tanga Tamares,-----,3.20,
Tanga Viviane,-----,3.45,
Tanga Yasmim,-----,3.85,
Top Manu Ribana,-----,"11,70",
Top Rose,-----,10.10,
